Province_State,Deathcase,diags
Alabama,38,1495
Alaska,1,157
Arizona,32,1769
Arkansas,6,657
California,263,12004
Colorado,96,3598
Connecticut,130,4696
Delaware,12,450
District of Columbia,15,757
Florida,163,10258
Georgia,180,5324
Hawaii,3,306
Idaho,9,891
Illinois,209,8489
Indiana,102,3437
Iowa,10,699
Kansas,18,629
Kentucky,31,657
Louisiana,366,10257
Maine,7,421
Maryland,43,2758
Massachusetts,183,10173
Michigan,477,12455
Minnesota,11,788
Mississippi,29,1358
Missouri,23,1725
Montana,5,243
Nebraska,5,278
Nevada,43,1498
New Hampshire,3,479
New Jersey,642,25087
New Mexico,10,487
New York,4795,102987
North Carolina,27,2251
North Dakota,3,173
Ohio,91,3312
Oklahoma,38,988
Oregon,22,899
Pennsylvania,102,8570
Rhode Island,3,565
South Carolina,34,1700
South Dakota,2,187
Tennessee,40,2826
Texas,100,5734
Utah,7,1248
Vermont,5,383
Virginia,15,2012
Washington,291,6345
West Virginia,2,237
Wisconsin,47,2012
Wyoming,0,162
