Province_State,Deathcase,diags
Alabama,27,1060
Alaska,1,132
Arizona,14,1413
Arkansas,6,540
California,198,9399
Colorado,68,2853
Connecticut,83,3372
Delaware,11,368
District of Columbia,9,586
Florida,85,6953
Georgia,137,4122
Hawaii,0,209
Idaho,9,566
Illinois,141,6952
Indiana,65,2564
Iowa,8,547
Kansas,10,485
Kentucky,15,614
Louisiana,273,6396
Maine,5,297
Maryland,19,1986
Massachusetts,113,7476
Michigan,334,9131
Minnesota,9,689
Mississippi,22,1073
Missouri,18,1485
Montana,6,208
Nebraska,4,207
Nevada,31,1131
New Hampshire,3,367
New Jersey,355,17743
New Mexico,5,327
New York,3352,83948
North Carolina,14,1675
North Dakota,3,142
Ohio,65,2547
Oklahoma,29,719
Oregon,19,736
Pennsylvania,74,6009
Rhode Island,0,406
South Carolina,26,1293
South Dakota,2,129
Tennessee,13,2248
Texas,66,4355
Utah,5,866
Vermont,5,307
Virginia,15,1483
Washington,234,5305
West Virginia,1,191
Wisconsin,27,1556
Wyoming,0,130
