Province_State,Deathcase,diags
Alabama,49,1952
Alaska,1,190
Arizona,55,2460
Arkansas,6,808
California,380,15976
Colorado,149,4907
Connecticut,206,6642
Delaware,15,783
District of Columbia,24,1097
Florida,235,13317
Georgia,224,6994
Hawaii,5,376
Idaho,10,1101
Illinois,306,12190
Indiana,131,4936
Iowa,25,946
Kansas,20,849
Kentucky,45,921
Louisiana,509,14819
Maine,7,488
Maryland,91,4045
Massachusetts,249,13574
Michigan,725,16759
Minnesota,30,980
Mississippi,51,1738
Missouri,46,2523
Montana,6,299
Nebraska,9,416
Nevada,46,1920
New Hampshire,3,714
New Jersey,989,37569
New Mexico,12,686
New York,7500,131815
North Carolina,45,2962
North Dakota,3,225
Ohio,142,4453
Oklahoma,51,1327
Oregon,27,1068
Pennsylvania,179,13127
Rhode Island,3,750
South Carolina,48,2232
South Dakota,4,288
Tennessee,64,3443
Texas,150,8043
Utah,13,1678
Vermont,5,522
Virginia,16,2878
Washington,381,7663
West Virginia,4,345
Wisconsin,78,2449
Wyoming,0,210
