Province_State,Deathcase,diags
Alabama,66,2328
Alaska,5,225
Arizona,77,2726
Arkansas,6,956
California,493,18730
Colorado,191,5417
Connecticut,274,7489
Delaware,16,1116
District of Columbia,27,1440
Florida,309,15453
Georgia,356,9044
Hawaii,5,401
Idaho,15,1210
Illinois,461,15005
Indiana,203,5943
Iowa,26,1145
Kansas,34,1046
Kentucky,60,997
Louisiana,650,16981
Maine,14,529
Maryland,124,5529
Massachusetts,419,16550
Michigan,955,19856
Minnesota,39,1150
Mississippi,67,2003
Missouri,76,2974
Montana,6,332
Nebraska,11,519
Nevada,72,2259
New Hampshire,3,746
New Jersey,1500,46046
New Mexico,13,821
New York,9682,151061
North Carolina,66,3499
North Dakota,4,251
Ohio,193,5148
Oklahoma,79,1524
Oregon,33,1181
Pennsylvania,318,16631
Rhode Island,3,1176
South Carolina,51,2417
South Dakota,6,393
Tennessee,80,4050
Texas,189,9777
Utah,13,1848
Vermont,5,572
Virginia,24,3645
Washington,426,8361
West Virginia,4,462
Wisconsin,100,2710
Wyoming,0,221
